"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 22:02:16 MSK 2024","Mon Jun 24 22:02:20 MSK 2024","3847","tests","test_logout","","","","test_logout[chromium]","Проверка функциональности выхода пользователя из системы."
"broken","Wed Jun 19 22:50:11 MSK 2024","Wed Jun 19 22:50:11 MSK 2024","0","tests","test_e2e_ml","","","","test_e2e_ml",""
"passed","Sun Jun 23 20:07:58 MSK 2024","Sun Jun 23 20:08:07 MSK 2024","9170","","","","","","test_login[chromium]",""
"passed","Sun Jun 23 20:47:52 MSK 2024","Sun Jun 23 20:47:53 MSK 2024","1288","tests","test_ex","TestLoginPage","","","test_login2[chromium]",""
"broken","Sun Jun 23 18:46:19 MSK 2024","Sun Jun 23 18:46:19 MSK 2024","0","tests","test_ex","TestLoginPage","","","test_login2",""
"broken","Sun Jun 23 18:46:20 MSK 2024","Sun Jun 23 18:46:20 MSK 2024","0","tests","test_login","TestLoginPage","","","test_login",""
"broken","Sun Jun 23 20:01:41 MSK 2024","Sun Jun 23 20:01:41 MSK 2024","0","tests","test_login","","","","test_login[chromium]",""
"broken","Thu Jun 20 01:01:36 MSK 2024","Thu Jun 20 01:02:00 MSK 2024","23926","tests","test_e2e_ml","","","","test_e2e_ml[chromium]",""
"passed","Mon Jun 24 22:02:12 MSK 2024","Mon Jun 24 22:02:16 MSK 2024","3443","tests","test_login","TestLoginPage","","","test_login[chromium]","Проверка функциональности входа пользователя в систему."
"broken","Sun Jun 23 18:46:20 MSK 2024","Sun Jun 23 18:46:20 MSK 2024","0","tests","test_logout","","","","test_logout",""
"broken","Mon Jun 24 22:01:56 MSK 2024","Mon Jun 24 22:02:12 MSK 2024","15314","tests","test_e2e_ml","TestE2EMLAlgorithm","","","test_e2e_ml[chromium]","Сквозной кейс для блока Предиктивной аналитики. Проверяет функциональность создания эксперимента, модели, запуска модели с определенными шагами. В кейсе используется классический алгоритм машинного обучения."
"passed","Mon Jun 17 22:51:03 MSK 2024","Mon Jun 17 22:51:23 MSK 2024","20547","","","","","","test_e2e_ml[chromium]",""
"passed","Mon Jun 17 22:57:24 MSK 2024","Mon Jun 17 22:57:49 MSK 2024","25037","","","","","","test_e2e_ml[chromium]",""
